iba_label,degree_in,strength_in,betweenness,log.degree_in,log.strength_in,log.betweenness,species_name,pc1,is_flu
NL017,1,1,17.5032396222479,0.693147180559945,0.693147180559945,2.91794583146959,Larus_canus,-0.12743773137102,0
LT006,2,3,0,1.09861228866811,1.38629436111989,0,Larus_canus,-0.099051019303296,0
NL075,1,1,0,0.693147180559945,0.693147180559945,0,Larus_canus,0.542430059512254,0
NL072,3,3,0,1.38629436111989,1.38629436111989,0,Larus_canus,-0.297076430163706,1
NL077,1,1,0,0.693147180559945,0.693147180559945,0,Larus_canus,0.542430059512254,0
NL050,2,2,0,1.09861228866811,1.09861228866811,0,Larus_canus,0.0513502439397648,0
NL073,5,6,71,1.79175946922805,1.94591014905531,4.27666611901606,Fulica_atra,-1.8505336609987,0
NL013,8,9,263.011904761905,2.19722457733622,2.30258509299405,5.57599419592472,Fulica_atra,-2.6143903014864,0
NL034,8,8,185.10119047619,2.19722457733622,2.19722457733622,5.22629056059814,Fulica_atra,-2.47902656961253,0
NL055,3,3,89,1.38629436111989,1.38629436111989,4.49980967033027,Fulica_atra,-1.33008997371576,0
NL015,0,0,0,0,0,0,Fulica_atra,1.38193654918822,0
NL078,3,3,102.166666666667,1.38629436111989,1.38629436111989,4.63634580345654,Fulica_atra,-1.3614343382638,0
NL076,3,4,418.308333333333,1.38629436111989,1.6094379124341,6.03860652837306,Fulica_atra,-1.80000919694696,0
NL038,1,1,362.233333333333,0.693147180559945,0.693147180559945,5.89504541931473,Fulica_atra,-0.810885348061335,0
NL053,0,0,0,0,0,0,Fulica_atra,1.38193654918822,0
NL048,5,5,150.833333333333,1.79175946922805,1.79175946922805,5.0227834280319,Fulica_atra,-1.94122797267991,0
NL050,1,1,25.9166666666667,0.693147180559945,0.693147180559945,3.29274567343466,Fulica_atra,-0.213479884536726,0
NL014,0,0,0,0,0,0,Fulica_atra,1.38193654918822,0
NL058,1,1,45.1666666666667,0.693147180559945,0.693147180559945,3.83225803695928,Fulica_atra,-0.337334807136999,0
NL063,1,1,4,0.693147180559945,0.693147180559945,1.6094379124341,Fulica_atra,0.172954174340307,0
NL079,5,5,7.74404761904762,1.79175946922805,1.79175946922805,2.16837319677062,Fulica_atra,-1.28594593993339,0
BE024,0,0,0,0,0,0,Fulica_atra,1.38193654918822,0
NL094,6,6,37,1.94591014905531,1.94591014905531,3.63758615972639,Fulica_atra,-1.8099305063175,1
NL089,8,12,0,2.19722457733622,2.56494935746154,0,Fulica_atra,-1.4714839514371,1
